Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.477160,3.477160,3.477160,3.477160,2.731975,43484
2000-01-04,3.452320,3.452320,3.352980,3.352980,2.634409,16910
2000-01-05,3.352980,3.352980,3.328140,3.328140,2.614892,10468
2000-01-06,3.228790,3.253630,3.228790,3.228790,2.536833,57173
2000-01-07,3.502000,3.502000,3.477160,3.477160,2.731975,20937
2000-01-10,3.502000,3.526830,3.502000,3.526830,2.771001,129646
2000-01-11,3.526830,3.526830,3.526830,3.526830,2.771001,4026
2000-01-12,3.526830,3.526830,3.477160,3.477160,2.731975,37847
2000-01-13,3.477160,3.477160,3.477160,3.477160,2.731975,805
2000-01-14,3.477160,3.477160,3.477160,3.477160,2.731975,8858
2000-01-17,3.477160,3.526830,3.477160,3.526830,2.771001,15300
2000-01-18,3.477160,3.477160,3.427490,3.427490,2.692950,61199
2000-01-19,3.477160,3.477160,3.452320,3.452320,2.712460,13689
2000-01-20,3.452320,3.452320,3.452320,3.452320,2.712460,0
2000-01-21,3.352980,3.352980,3.352980,3.352980,2.634409,24158
2000-01-24,3.303300,3.303300,3.303300,3.303300,2.595377,35431
2000-01-25,3.303300,3.303300,3.303300,3.303300,2.595377,0
2000-01-26,3.228790,3.228790,3.228790,3.228790,2.536833,3221
2000-01-27,3.228790,3.228790,3.228790,3.228790,2.536833,0
2000-01-28,3.154280,3.154280,3.154280,3.154280,2.478292,2416
2000-01-31,3.154280,3.154280,3.154280,3.154280,2.478292,0
2000-02-01,3.030100,3.030100,3.030100,3.030100,2.380724,3221
2000-02-02,3.030100,3.030100,3.030100,3.030100,2.380724,0
2000-02-03,3.030100,3.030100,3.030100,3.030100,2.380724,6442
2000-02-04,3.179120,3.179120,3.179120,3.179120,2.497810,805
2000-02-07,2.980420,2.980420,2.980420,2.980420,2.341692,4832
2000-02-08,3.104610,3.104610,3.104610,3.104610,2.439268,1611
2000-02-09,3.054930,3.054930,3.054930,3.054930,2.400233,20937
2000-02-10,3.054930,3.054930,2.980420,2.980420,2.341692,117567
2000-02-11,2.980420,2.980420,2.980420,2.980420,2.341692,13689
2000-02-14,2.905910,2.905910,2.905910,2.905910,2.283149,13689
2000-02-15,2.930750,3.228790,2.905910,3.228790,2.536833,45094
2000-02-16,3.228790,3.228790,3.203950,3.228790,2.536833,9663
2000-02-17,3.228790,3.228790,3.203950,3.228790,2.536833,9663
2000-02-18,3.030100,3.030100,3.030100,3.030100,2.380724,169104
2000-02-21,3.030100,3.030100,3.030100,3.030100,2.380724,0
2000-02-22,3.030100,3.030100,3.005260,3.005260,2.361207,206951
2000-02-23,3.005260,3.005260,3.005260,3.005260,2.361207,350286
2000-02-24,3.030100,3.030100,3.030100,3.030100,2.380724,86162
2000-02-25,3.030100,3.228790,3.030100,3.054930,2.400233,96631
2000-02-28,3.054930,3.054930,3.054930,3.054930,2.400233,28184
2000-02-29,3.054930,3.054930,3.030100,3.030100,2.380724,156219
2000-03-01,3.104610,3.104610,3.104610,3.104610,2.439268,1538842
2000-03-02,3.104610,3.104610,3.104610,3.104610,2.439268,4832
2000-03-03,3.253630,3.253630,3.253630,3.253630,2.556350,23352
