Date,Open,High,Low,Close,Adj Close,Volume
2000-12-21,4.223260,4.482800,4.222760,4.440830,3.680335,49483
2000-12-22,4.396120,4.396120,4.222260,4.248340,3.520808,15558
2000-12-25,null,null,null,null,null,null
2000-12-26,4.225000,4.252070,4.185010,4.247100,3.519780,5226
2000-12-27,4.321610,4.391160,4.247100,4.391160,3.639168,18006
2000-12-28,4.366320,4.694170,4.296530,4.594820,3.807952,51633
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,4.359120,4.470390,4.358870,4.445800,3.684452,31340525
2001-01-03,4.445800,4.719000,4.420960,4.619900,3.828737,44707758
2001-01-04,4.644240,4.719000,4.644240,4.694170,3.890288,55192178
2001-01-05,4.569980,4.843190,4.569980,4.718750,3.910659,54378870
2001-01-08,4.669330,4.719000,4.619650,4.619650,3.828534,21379520
2001-01-09,4.669330,4.768680,4.619650,4.639520,3.844998,80710709
2001-01-10,4.642010,4.694170,4.619410,4.681750,3.879996,73471466
2001-01-11,4.716270,4.719000,4.594820,4.694170,3.890288,41059952
2001-01-12,4.694170,4.694170,4.569980,4.620150,3.828947,33192611
2001-01-15,4.569980,4.669330,4.569980,4.669330,3.869701,5306630
2001-01-16,4.669330,4.719000,4.644490,4.694170,3.890288,17425718
2001-01-17,4.694170,4.768680,4.656910,4.731420,3.921161,35318484
2001-01-18,4.731420,4.892860,4.731420,4.892860,4.054953,94440306
2001-01-19,4.892610,5.066720,4.868020,4.992210,4.137291,75017556
2001-01-22,4.992210,4.992210,4.786060,4.818350,3.993204,26444574
2001-01-23,4.818350,4.868020,4.773890,4.773890,3.956357,63454094
2001-01-24,4.843190,4.843190,4.641760,4.641760,3.846852,48122039
2001-01-25,null,null,null,null,null,null
2001-01-26,4.644490,4.818350,4.644240,4.768680,3.952037,70016922
2001-01-29,4.793510,4.793510,4.681750,4.694170,3.890288,52035578
2001-01-30,4.743840,4.743840,4.619650,4.619650,3.828534,100028776
2001-01-31,4.644490,4.656910,4.569980,4.632070,3.838824,71208700
2001-02-01,4.686710,4.686710,4.520560,4.545140,3.766779,39175656
2001-02-02,4.545140,4.569980,4.483050,4.569980,3.787368,22555193
2001-02-05,4.545140,4.545140,4.445800,4.458220,3.694745,7972025
2001-02-06,4.495470,4.507890,4.470630,4.507890,3.735908,24028809
